               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  70,            0.019209,           0.0026954,                   0,             0.85023,             0.95455,              0.9516,             0.61629,            0.017642,           0.0024498,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.023158,           0.0027104,                   0,             0.81544,             0.93842,             0.93511,             0.59718,            0.017793,           0.0025159,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.021875,           0.0029952,                   0,             0.87822,              0.9292,             0.94864,             0.57114,             0.01857,           0.0026007,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.022193,           0.0027859,                   0,             0.85009,             0.92035,             0.95829,             0.61017,            0.016912,           0.0025331,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.020507,           0.0026063,                   0,             0.87302,             0.97345,             0.97312,             0.62705,             0.01597,           0.0023359,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.023186,           0.0029352,                   0,             0.92884,             0.92405,              0.9711,             0.64602,            0.014356,           0.0024389,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.018256,           0.0026982,                   0,             0.91241,              0.9646,             0.97943,             0.62722,            0.014357,           0.0022937,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019046,           0.0027266,                   0,             0.89245,             0.97345,              0.9776,             0.63501,            0.014921,           0.0022953,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021008,           0.0026161,                   0,             0.93232,              0.9292,             0.97951,             0.60217,            0.017329,           0.0023111,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.019047,           0.0026361,                   0,             0.92711,             0.92035,             0.97877,             0.64911,            0.014183,           0.0023204,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.020246,           0.0029072,                   0,             0.91652,             0.97163,             0.98081,             0.61234,            0.015435,           0.0023182,                   0,            0.002179,            0.002179,            0.002179
